kategori,alamat
Monumen Nasional,Jalan Medan Merdeka Jakarta Pusat
Patung Pangeran Diponegoro (Monas),Jalan Medan Merdeka Jakarta Pusat
Patung Dada M.H. Thamrin (Monas),Jalan Medan Merdeka Jakarta Pusat
Patung Dada Chairil Anwar (Monas),Jalan Medan Merdeka Jakarta Pusat
Patung R.A. Kartini (Monas),Jalan Medan Merdeka Jakarta Pusat
Monumen IKADA (Monas),Jalan Medan Merdeka Jakarta Pusat
Patung Arjuna Wijaya,Jalan Medan Merdeka Jakarta Pusat
Patung Gajah,Jalan Merdeka Barat Jakarta Pusat
Patung M.H. Thamrin,Jalan MH Thamrin Jakarta Pusat
Monumen Selamat Datang (Bundaran HI),Jalan MH Thamrin Jakarta Pusat
Patung Jenderal Soedirman,Jalan Jenderal Sudirman Jakarta Pusat
Patung Pahlawan (Tugu Tani),Jalan Menteng Raya Jakarta Pusat
Monumen Pembebasan Irian Barat,Jalan Lapangan Banteng Jakarta Pusat
Monumen ASEAN / Peace-Indonesia,Taman Suropati Jakarta Pusat
Monumen ASEAN / Rebirth-Philipina,Taman Suropati Jakarta Pusat
Monumen ASEAN / Harmony-Brunei Darussalam,Taman Suropati Jakarta Pusat
Monumen ASEAN / Fraternity-Thailand,Taman Suropati Jakarta Pusat
Monumen ASEAN / The Spirit of ASEAN-Singapura,Taman Suropati Jakarta Pusat
"Monumen ASEAN / Peace, Harmony and One-Malaysia",Taman Suropati Jakarta Pusat
Patung Pangeran Diponegoro (Menteng),Jalan Imam Bonjol Jakarta Pusat
Patung Jenderal Ahmad Yani (Museum Sasmita Loka Ahmad Yani),Jalan Lembang Jakarta Pusat
"Monumen Proklamasi (Tugu Petir, Tugu Peringatan Satu Tahun RI, dan Monumen Proklamator Soekarno Hatta)",Jalan Proklamasi Jakarta Pusat
Patung Dada Ismail Marzuki,Jalan Cikini Raya Jakarta Pusat
Monumen Tekad Merdeka,Jalan Proyek Senen Jakarta Pusat
Monumen Kesetiakawanan Nasional,Jalan Proyek Senen Jakarta Pusat
Patung M.H. Thamrin (Museum M.H. Thamrin),Jalan Kenari Jakarta Pusat
Patung Dada DR. GSSJ Ratulangi,Jalan Sam Ratulangi Jakarta Pusat
Patung Marinir,Jalan Gunung Sahari Jakarta Pusat
Patung Dr Cipto Mangunkusumo,Jalan Pangeran Diponegoro Jakarta Pusat
Monumen Perjuangan STOVIA,Jalan Abdul Rahman Saleh Jakarta Pusat
Monumen Ancol,Danau Taman Ancol Jakarta Utara
Patung Dewa Hermes,Komplek Museum Sejarah Jakarta Barat
Monumen Tragedi 12 Mei 1998,Jalan Kyai Tapa Jakarta Barat
Patung Pemuda Membangun,Jalan Jenderal Sudirman Jakarta Selatan
Patung Dirgantara,Jalan Gatot Subroto Jakarta Selatan
Patung Elemen Estetik,Jalan Gatot Subroto Jakarta Selatan
Monumen 66,Jalan HR Rasuna Said Jakarta Selatan
Patung Dada Soeprapto,Jalan Sultan Hasanudin Jakarta Selatan
Patung Gajah Mada,Jalan Trunojoyo Jakarta Selatan
Monumen Perjuangan Jatinegara,Jalan Raya Matraman Jakarta Timur
Monumen Persahabatan Negara Non blok,TMII Jakarta Timur
Tugu Api Pancasila,TMII Jakarta Timur
Monumen Pancasila Sakti,Lubang Buaya Jakarta Timur
Patung Pahlawan Cijantung,Jalan Pendidikan Jakarta Timur
